Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
00,SUCCESS,02,05,2004,00.2,2004.2
01,SUCCESS,02,05,3379.24,2004.2,5383.44
02,SUCCESS,02,05,3201.6,5383.44,8585.04
03,SUCCESS,02,02,2632.28,00.2,2632.48
04,SUCCESS,02,03,2738.92,00.2,2739.12
05,SUCCESS,02,04,2449.01,00.2,2449.21
06,SUCCESS,03,06,1960.54,00.2,1960.74
07,SUCCESS,02,04,963.88,2449.21,3413.1
08,SUCCESS,02,02,2642.52,2632.48,5275
09,SUCCESS,02,02,2176.51,5275,7451.51
10,SUCCESS,02,03,2761.58,2739.12,5500.7
11,SUCCESS,03,06,2887.07,1960.74,4847.81
12,SUCCESS,02,05,2486.77,8585.04,11071.81
13,SUCCESS,02,03,1885.37,5500.7,7386.07
14,SUCCESS,02,02,2042.5,7451.51,9494
15,SUCCESS,02,02,3298.96,9494,12792.96
16,SUCCESS,02,05,3142.14,11071.81,14213.95
17,SUCCESS,02,02,3110.66,12792.96,15903.63
18,SUCCESS,02,05,3831.02,14213.95,18044.98
19,SUCCESS,02,05,1333.29,18044.98,19378.26
20,SUCCESS,02,02,2199.2,15903.63,18102.82
21,SUCCESS,02,05,2363.86,19378.26,21742.12
22,SUCCESS,02,02,1586.49,18102.82,19689.32
23,SUCCESS,03,06,3503.24,4847.81,8351.05
24,SUCCESS,02,02,1794.46,19689.32,21483.77
25,SUCCESS,02,02,1831.24,21483.77,23315.01
26,SUCCESS,02,05,1306.65,21742.12,23048.77
27,SUCCESS,02,05,2386.7,23048.77,25435.47
28,SUCCESS,02,04,707.36,3413.1,4120.46
29,SUCCESS,03,06,2228.84,8351.05,10579.89
