CloXudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
0,SUCCESS,5,5,2004.0,0.1,2004.1
1,SUCCESS,3,3,2434.24,0.1,2434.34
11,SUCCESS,2,2,2537.46,0.1,2537.56
9,SUCCESS,4,4,2766.84,0.1,2766.94
3,SUCCESS,6,6,3262.4,0.1,3262.5
4,SUCCESS,5,5,1821.06,2004.1,3825.16
5,SUCCESS,6,6,1426.33,3262.5,4688.82
20,SUCCESS,2,2,2199.2,2537.56,4736.76
10,SUCCESS,4,4,2166.24,2766.94,4933.18
23,SUCCESS,2,2,794.76,4736.76,5531.52
2,SUCCESS,3,3,3175.24,2434.34,5609.59
16,SUCCESS,4,4,1148.62,4933.18,6081.8
6,SUCCESS,6,6,1960.54,4688.82,6649.36
