Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
04,SUCCESS,04,04,736.44,00.1,736.54
03,SUCCESS,03,03,1171.3,00.1,1171.4
05,SUCCESS,03,03,825.5,1171.4,1996.9
00,SUCCESS,06,06,2316.28,00.1,2316.38
02,SUCCESS,02,02,2515.33,00.1,2515.43
07,SUCCESS,05,05,2869.62,00.1,2869.72
06,SUCCESS,03,03,1564.31,1996.9,3561.21
10,SUCCESS,02,02,1436.7,2515.43,3952.14
15,SUCCESS,04,04,3436.42,736.54,4172.96
09,SUCCESS,05,05,2010.74,2869.72,4880.45
01,SUCCESS,06,06,2864.78,2316.38,5181.16
13,SUCCESS,03,03,1885.37,3561.21,5446.58
11,SUCCESS,02,02,2537.46,3952.14,6489.6
18,SUCCESS,04,04,2451.44,4172.96,6624.4
12,SUCCESS,02,02,653.67,6489.6,7143.26
08,SUCCESS,06,06,2625.84,5181.16,7807
16,SUCCESS,05,05,3142.14,4880.45,8022.59
14,SUCCESS,03,03,2946.82,5446.58,8393.4
25,SUCCESS,02,02,1831.24,7143.26,8974.5
21,SUCCESS,04,04,2409.22,6624.4,9033.63
20,SUCCESS,03,03,1400.83,8393.4,9794.24
17,SUCCESS,05,05,2081.69,8022.59,10104.28
26,SUCCESS,04,04,1181.08,9033.63,10214.7
28,SUCCESS,04,04,707.36,10214.7,10922.07
27,SUCCESS,02,02,2174.38,8974.5,11148.88
23,SUCCESS,06,06,3503.24,7807,11310.25
19,SUCCESS,05,05,1333.29,10104.28,11437.57
22,SUCCESS,05,05,2015.32,11437.57,13452.89
24,SUCCESS,05,05,3028.99,13452.89,16481.88
29,SUCCESS,05,05,2894.04,16481.88,19375.92
Makespan using SJF:,5448.191807036241
